Epoch,base,scapy,scapy_pn,scapy_pn_rms,sprs,llama,llama6l,llama6lx
1,6.7927,6.7814,7.3001,7.3049,7.0879,7.304,7.2691,7.0445
2,5.805,6.1632,6.4718,6.4833,6.3454,6.4313,6.4045,6.4269
3,5.4691,5.8128,6.1583,6.1787,6.0527,6.1193,6.0624,6.0901
4,5.2535,5.5703,5.9359,5.9588,5.8447,5.8983,5.8188,5.8609
5,5.0965,5.3816,5.768,5.79,5.6789,5.7123,5.6333,5.6903
6,4.9667,5.2275,5.6268,5.6557,5.5485,5.5693,5.479,5.5508
7,4.8616,5.0975,5.506,5.5426,5.4414,5.4519,5.3492,5.4327
8,4.7655,4.9828,5.4043,5.4445,5.3469,5.3472,5.2397,5.3283
9,4.6827,4.8824,5.3155,5.3595,5.266,5.2581,5.1432,5.2316
10,4.6047,4.7897,5.2343,5.2782,5.1917,5.1782,5.0568,5.1413
11,4.5374,4.7061,5.1638,5.2025,5.1275,5.1051,4.9797,5.0615
12,4.4706,4.6279,5.0996,5.1333,5.0688,5.0378,4.9064,4.984
13,4.4105,4.557,5.0405,5.0704,5.0159,4.9766,4.8397,4.9127
14,4.3555,4.4896,4.9873,5.0129,4.9644,4.9187,4.777,4.8449
15,4.3017,4.4251,4.9388,4.9615,4.9186,4.8617,4.7175,4.7831
16,4.2507,4.3655,4.8925,4.9113,4.8751,4.811,4.6619,4.7278
17,4.2054,4.3079,4.8481,4.867,4.8346,4.7606,4.6092,4.6754
18,4.1604,4.2539,4.8067,4.8243,4.7947,4.7152,4.559,4.6236
19,4.1179,4.2025,4.7679,4.7848,4.7564,4.6698,4.5096,4.5722
20,4.0793,4.1525,4.7307,4.7474,4.7198,4.628,4.4627,4.5257
21,4.0424,4.1758,,,,4.5866,4.4196,4.4774
22,4.0046,4.1681,,,,4.5474,4.3766,4.4282
23,3.9667,4.1472,,,,4.5095,4.3346,4.3865
24,3.933,4.1196,,,,4.4724,4.2943,4.3429
25,3.8998,4.0854,,,,4.4373,4.2547,4.2964
26,3.8703,4.0529,,,,4.4055,4.2156,4.2542
27,3.8395,4.0148,,,,4.3713,4.1779,4.2149
28,3.8132,3.9809,,,,4.3372,4.1429,4.1773
29,3.7884,3.9453,,,,4.3077,4.1066,4.139
30,3.7662,3.9083,,,,4.2766,4.0732,4.1024
